[2025-06-12T22:27:09.316984] case_001 | Integrity: 89.08%
[2025-06-12T22:27:11.370686] case_002 | Integrity: 89.29%
[2025-06-12T22:27:14.694479] case_003 | Integrity: 89.45%
[2025-06-12T22:27:17.154041] case_004 | Integrity: 88.65%
[2025-06-12T22:27:20.229634] case_005 | Integrity: 88.92%
[2025-06-12T22:27:22.820266] case_006 | Integrity: 87.81%
[2025-06-12T22:27:24.983417] case_007 | Integrity: 88.64%
[2025-06-12T22:27:27.108656] case_008 | Integrity: 88.58%
[2025-06-12T22:27:31.606290] case_009 | Integrity: 88.47%
[2025-06-12T22:27:34.370089] case_010 | Integrity: 88.78%
[2025-06-12T22:27:36.083280] case_011 | Integrity: 89.01%
[2025-06-12T22:27:47.210056] case_012 | Integrity: 90.03%
[2025-06-12T22:27:50.025957] case_013 | Integrity: 88.01%
[2025-06-12T22:27:53.691545] case_014 | Integrity: 88.94%
[2025-06-12T22:27:55.361685] case_015 | Integrity: 88.12%
[2025-06-12T22:28:02.495299] case_016 | Integrity: 89.84%
[2025-06-12T22:28:05.903380] case_017 | Integrity: 88.83%
[2025-06-12T22:28:09.919696] case_018 | Integrity: 89.26%
[2025-06-12T22:28:16.247356] case_019 | Integrity: 89.14%
[2025-06-12T22:28:18.912916] case_020 | Integrity: 88.84%
[2025-06-12T22:28:27.364421] case_021 | Integrity: 89.68%
[2025-06-12T22:28:36.929685] case_022 | Integrity: 89.60%
[2025-06-12T22:28:45.877556] case_023 | Integrity: 89.56%
[2025-06-12T22:28:54.788416] case_024 | Integrity: 89.76%
[2025-06-12T22:29:04.606300] case_025 | Integrity: 89.76%
[2025-06-12T22:29:14.000615] case_026 | Integrity: 89.66%
[2025-06-12T22:29:23.484501] case_027 | Integrity: 89.29%
[2025-06-12T22:29:29.368536] case_028 | Integrity: 88.64%
[2025-06-12T22:29:31.546751] case_029 | Integrity: 88.86%
[2025-06-12T22:29:34.029943] case_030 | Integrity: 88.50%
[2025-06-12T22:29:36.444026] case_031 | Integrity: 88.58%
[2025-06-12T22:29:38.092347] case_032 | Integrity: 88.38%
[2025-06-12T22:29:46.076020] case_033 | Integrity: 90.29%
[2025-06-12T22:29:51.274350] case_034 | Integrity: 88.85%
[2025-06-12T22:29:56.361025] case_035 | Integrity: 89.42%
[2025-06-12T22:30:35.077744] case_036 | Integrity: 90.33%
[2025-06-12T22:31:06.658458] case_037 | Integrity: 90.58%
[2025-06-12T22:31:40.243171] case_038 | Integrity: 90.53%
[2025-06-12T22:31:42.860379] case_039 | Integrity: 89.08%
[2025-06-12T22:31:44.865024] case_040 | Integrity: 88.85%
[2025-06-12T22:31:48.302136] case_041 | Integrity: 89.53%
[2025-06-12T22:31:52.930596] case_042 | Integrity: 88.17%
[2025-06-12T22:31:55.600988] case_043 | Integrity: 88.53%
[2025-06-12T22:31:59.526975] case_044 | Integrity: 88.88%
[2025-06-12T22:32:02.925530] case_045 | Integrity: 88.84%
[2025-06-12T22:32:07.433141] case_046 | Integrity: 89.51%
[2025-06-12T22:32:13.476307] case_047 | Integrity: 89.34%
